0 annotation: 12
1 annotation: 11
2 annotation: 11
3 annotation: 11
4 annotation: 12
5 annotation: 12
6 annotation: 11
7 annotation: 11
8 annotation: 11
9 annotation: 11
10 annotation: 11
11 annotation: 11
12 annotation: 11
13 annotation: 11
14 annotation: 11
15 annotation: 11
16 annotation: 11
17 annotation: 11
18 annotation: 11
19 annotation: 11
20 annotation: 11
21 annotation: 11
22 annotation: 11
23 annotation: 11
24 annotation: 11
  Annotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   0,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   0,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   1,    20.035,    20.035,         0
Unannotated,  CCBS,   1,   0,   1,    20.035,    20.035,         0
Unannotated, PSIPP,   1,   0,   1,    20.035,    20.035,         0
  Annotated, PSIPP,   1,   0,   2,    18.690,    18.690,         0
Unannotated,  CCBS,   1,   0,   2,    18.690,    18.690,         0
Unannotated, PSIPP,   1,   0,   2,    18.690,    18.690,         0
  Annotated, PSIPP,   1,   0,   3,    43.475,    43.475,         0
Unannotated,  CCBS,   1,   0,   3,    43.475,    43.475,         0
Unannotated, PSIPP,   1,   0,   3,    43.475,    43.475,         0
  Annotated, PSIPP,   1,   0,   4,    44.124,    44.124,         0
Unannotated,  CCBS,   1,   0,   4,    44.124,    44.124,         0
Unannotated, PSIPP,   1,   0,   4,    44.124,    44.124,         0
  Annotated, PSIPP,   1,   0,   5,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   5,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   5,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   6,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   6,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   6,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,   7,    98.669,    98.669,         0
Unannotated,  CCBS,   1,   0,   7,    98.669,    98.669,         0
Unannotated, PSIPP,   1,   0,   7,    98.669,    98.669,         0
  Annotated, PSIPP,   1,   0,   8,    52.852,    52.852,         0
Unannotated,  CCBS,   1,   0,   8,    52.852,    52.852,         0
Unannotated, PSIPP,   1,   0,   8,    52.852,    52.852,         0
  Annotated, PSIPP,   1,   0,   9,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,   9,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,   9,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  10,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  10,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  10,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  11,    19.882,    19.882,         0
Unannotated,  CCBS,   1,   0,  11,    19.882,    19.882,         0
Unannotated, PSIPP,   1,   0,  11,    19.882,    19.882,         0
  Annotated, PSIPP,   1,   0,  12,   110.419,   110.419,         0
Unannotated,  CCBS,   1,   0,  12,   110.419,   110.419,         0
Unannotated, PSIPP,   1,   0,  12,   110.419,   110.419,         0
  Annotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  13,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  13,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  14,    40.263,    40.263,         0
Unannotated,  CCBS,   1,   0,  14,    40.263,    40.263,         0
Unannotated, PSIPP,   1,   0,  14,    40.263,    40.263,         0
  Annotated, PSIPP,   1,   0,  15,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  15,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  15,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  16,   120.066,   120.066,         0
Unannotated,  CCBS,   1,   0,  16,   120.066,   120.066,         0
Unannotated, PSIPP,   1,   0,  16,   120.066,   120.066,         0
  Annotated, PSIPP,   1,   0,  17,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  17,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  17,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  18,    -1.000,    -1.000,         0
Unannotated,  CCBS,   1,   0,  18,    -1.000,    -1.000,         0
Unannotated, PSIPP,   1,   0,  18,    -1.000,    -1.000,         0
  Annotated, PSIPP,   1,   0,  19,     2.772,     2.772,         0
Unannotated,  CCBS,   1,   0,  19,     2.772,     2.772,         0
Unannotated, PSIPP,   1,   0,  19,     2.772,     2.772,         0
  Annotated, PSIPP,   1,   0,  20,   154.021,   154.021,         0
Unannotated,  CCBS,   1,   0,  20,   154.021,   154.021,         0
Unannotated, PSIPP,   1,   0,  20,   154.021,   154.021,         0
  Annotated, PSIPP,   1,   0,  21,     5.865,     5.865,         0
Unannotated,  CCBS,   1,   0,  21,     5.865,     5.865,         0
Unannotated, PSIPP,   1,   0,  21,     5.865,     5.865,         0
