0 annotation: 1072
1 annotation: 1043
2 annotation: 1048
3 annotation: 1018
4 annotation: 1026
5 annotation: 1047
6 annotation: 1018
7 annotation: 1016
8 annotation: 1034
9 annotation: 1042
10 annotation: 1024
11 annotation: 1041
12 annotation: 1040
13 annotation: 1024
14 annotation: 1015
15 annotation: 1032
16 annotation: 1032
17 annotation: 1013
18 annotation: 1032
19 annotation: 1012
20 annotation: 1044
21 annotation: 1052
22 annotation: 1045
23 annotation: 1015
24 annotation: 1043
  Annotated, PSIPP,   1,   0,   0,    38.779,    38.779,         2
Unannotated,  CCBS,   1,   0,   0,    38.779,    38.779,         0
Unannotated, PSIPP,   1,   0,   0,    38.779,    38.779,         1
  Annotated, PSIPP,   1,   0,   1,    45.493,    45.493,         1
Unannotated,  CCBS,   1,   0,   1,    45.493,    45.493,         1
Unannotated, PSIPP,   1,   0,   1,    45.493,    45.493,         1
  Annotated, PSIPP,   1,   0,   2,    49.529,    49.529,         1
Unannotated,  CCBS,   1,   0,   2,    49.529,    49.529,         1
Unannotated, PSIPP,   1,   0,   2,    49.529,    49.529,         1
  Annotated, PSIPP,   1,   0,   3,    51.637,    51.637,         1
Unannotated,  CCBS,   1,   0,   3,    51.637,    51.637,         1
Unannotated, PSIPP,   1,   0,   3,    51.637,    51.637,         1
  Annotated, PSIPP,   1,   0,   4,    30.938,    30.938,         1
Unannotated,  CCBS,   1,   0,   4,    30.938,    30.938,         1
Unannotated, PSIPP,   1,   0,   4,    30.938,    30.938,         1
  Annotated, PSIPP,   1,   0,   5,     6.920,     6.920,         1
Unannotated,  CCBS,   1,   0,   5,     6.920,     6.920,         1
Unannotated, PSIPP,   1,   0,   5,     6.920,     6.920,         1
  Annotated, PSIPP,   1,   0,   6,    51.172,    51.172,         1
Unannotated,  CCBS,   1,   0,   6,    51.172,    51.172,         1
Unannotated, PSIPP,   1,   0,   6,    51.172,    51.172,         1
  Annotated, PSIPP,   1,   0,   7,     7.263,     7.263,         1
Unannotated,  CCBS,   1,   0,   7,     7.263,     7.263,         1
Unannotated, PSIPP,   1,   0,   7,     7.263,     7.263,         1
  Annotated, PSIPP,   1,   0,   8,    54.732,    54.732,         1
Unannotated,  CCBS,   1,   0,   8,    54.732,    54.732,         1
Unannotated, PSIPP,   1,   0,   8,    54.732,    54.732,         1
  Annotated, PSIPP,   1,   0,   9,    61.248,    61.248,         1
Unannotated,  CCBS,   1,   0,   9,    61.248,    61.248,         1
Unannotated, PSIPP,   1,   0,   9,    61.248,    61.248,         1
  Annotated, PSIPP,   1,   0,  10,     8.598,     8.598,         1
Unannotated,  CCBS,   1,   0,  10,     8.598,     8.598,         1
Unannotated, PSIPP,   1,   0,  10,     8.598,     8.598,         1
  Annotated, PSIPP,   1,   0,  11,     9.712,     9.712,         1
Unannotated,  CCBS,   1,   0,  11,     9.712,     9.712,         1
Unannotated, PSIPP,   1,   0,  11,     9.712,     9.712,         1
  Annotated, PSIPP,   1,   0,  12,    38.986,    38.986,         1
Unannotated,  CCBS,   1,   0,  12,    38.986,    38.986,         1
Unannotated, PSIPP,   1,   0,  12,    38.986,    38.986,         1
  Annotated, PSIPP,   1,   0,  13,    37.601,    37.601,         1
Unannotated,  CCBS,   1,   0,  13,    37.601,    37.601,         1
Unannotated, PSIPP,   1,   0,  13,    37.601,    37.601,         1
  Annotated, PSIPP,   1,   0,  14,    44.691,    44.691,         1
Unannotated,  CCBS,   1,   0,  14,    44.691,    44.691,         1
Unannotated, PSIPP,   1,   0,  14,    44.691,    44.691,         1
  Annotated, PSIPP,   1,   0,  15,    46.652,    46.652,         1
Unannotated,  CCBS,   1,   0,  15,    46.652,    46.652,         1
Unannotated, PSIPP,   1,   0,  15,    46.652,    46.652,         1
  Annotated, PSIPP,   1,   0,  16,    34.623,    34.623,         1
Unannotated,  CCBS,   1,   0,  16,    34.623,    34.623,         1
Unannotated, PSIPP,   1,   0,  16,    34.623,    34.623,         1
  Annotated, PSIPP,   1,   0,  17,    45.006,    45.006,         1
Unannotated,  CCBS,   1,   0,  17,    45.006,    45.006,         1
Unannotated, PSIPP,   1,   0,  17,    45.006,    45.006,         1
  Annotated, PSIPP,   1,   0,  18,    43.157,    43.157,         1
Unannotated,  CCBS,   1,   0,  18,    43.157,    43.157,         1
Unannotated, PSIPP,   1,   0,  18,    43.157,    43.157,         1
  Annotated, PSIPP,   1,   0,  19,    39.025,    39.025,         1
Unannotated,  CCBS,   1,   0,  19,    39.025,    39.025,         1
Unannotated, PSIPP,   1,   0,  19,    39.025,    39.025,         1
  Annotated, PSIPP,   1,   0,  20,    56.567,    56.567,         1
Unannotated,  CCBS,   1,   0,  20,    56.567,    56.567,         1
Unannotated, PSIPP,   1,   0,  20,    56.567,    56.567,         1
  Annotated, PSIPP,   1,   0,  21,    54.565,    54.565,         1
Unannotated,  CCBS,   1,   0,  21,    54.565,    54.565,         1
Unannotated, PSIPP,   1,   0,  21,    54.565,    54.565,         1
  Annotated, PSIPP,   1,   0,  22,    47.071,    47.071,         1
Unannotated,  CCBS,   1,   0,  22,    47.071,    47.071,         1
Unannotated, PSIPP,   1,   0,  22,    47.071,    47.071,         1
  Annotated, PSIPP,   1,   0,  23,    35.470,    35.470,         1
Unannotated,  CCBS,   1,   0,  23,    35.470,    35.470,         1
Unannotated, PSIPP,   1,   0,  23,    35.470,    35.470,         1
  Annotated, PSIPP,   1,   0,  24,    51.340,    51.340,         1
Unannotated,  CCBS,   1,   0,  24,    51.340,    51.340,         1
Unannotated, PSIPP,   1,   0,  24,    51.340,    51.340,         1
  Annotated, PSIPP,   2,   0,   0,    38.779,    72.609,         1
Unannotated,  CCBS,   2,   0,   0,    38.779,    72.609,         1
Unannotated, PSIPP,   2,   0,   0,    38.779,    72.609,       444
  Annotated, PSIPP,   2,   0,   1,    45.493,    86.674,         1
Unannotated,  CCBS,   2,   0,   1,    45.493,    86.674,         7
Unannotated, PSIPP,   2,   0,   1,    45.493,    86.674,       540
  Annotated, PSIPP,   2,   0,   2,    49.529,    66.631,         1
Unannotated,  CCBS,   2,   0,   2,    49.529,    66.631,         1
Unannotated, PSIPP,   2,   0,   2,    49.529,    66.631,       604
  Annotated, PSIPP,   2,   0,   3,    51.637,    89.498,         1
Unannotated,  CCBS,   2,   0,   3,    51.637,    89.498,         1
Unannotated, PSIPP,   2,   0,   3,    51.637,    89.498,       602
  Annotated, PSIPP,   2,   0,   4,    79.027,   109.965,         1
Unannotated,  CCBS,   2,   0,   4,    79.027,   109.965,         1
Unannotated, PSIPP,   2,   0,   4,    79.027,   109.965,       380
  Annotated, PSIPP,   2,   0,   5,    41.873,    48.793,         1
Unannotated,  CCBS,   2,   0,   5,    41.873,    48.793,         1
Unannotated, PSIPP,   2,   0,   5,    41.873,    48.793,        94
  Annotated, PSIPP,   2,   0,   6,    51.172,    98.098,         1
Unannotated,  CCBS,   2,   0,   6,    51.172,    98.098,         1
Unannotated, PSIPP,   2,   0,   6,    51.172,    98.098,       571
  Annotated, PSIPP,   2,   0,   7,    12.605,    19.868,         1
Unannotated,  CCBS,   2,   0,   7,    12.605,    19.868,         1
Unannotated, PSIPP,   2,   0,   7,    12.605,    19.868,        94
  Annotated, PSIPP,   2,   0,   8,    54.732,    76.488,         1
Unannotated,  CCBS,   2,   0,   8,    54.732,    76.488,         1
Unannotated, PSIPP,   2,   0,   8,    54.732,    76.488,       668
  Annotated, PSIPP,   2,   0,   9,    61.248,   101.118,         1
Unannotated,  CCBS,   2,   0,   9,    61.248,   101.118,         1
Unannotated, PSIPP,   2,   0,   9,    61.248,   101.118,       702
  Annotated, PSIPP,   2,   0,  10,    24.479,    33.077,         1
Unannotated,  CCBS,   2,   0,  10,    24.479,    33.077,         1
Unannotated, PSIPP,   2,   0,  10,    24.479,    33.077,       125
  Annotated, PSIPP,   2,   0,  11,    43.211,    52.923,         1
Unannotated,  CCBS,   2,   0,  11,    43.211,    52.923,         1
Unannotated, PSIPP,   2,   0,  11,    43.211,    52.923,       125
  Annotated, PSIPP,   2,   0,  12,    38.986,    43.476,         1
Unannotated,  CCBS,   2,   0,  12,    38.986,    43.476,         1
Unannotated, PSIPP,   2,   0,  12,    38.986,    43.476,       476
  Annotated, PSIPP,   2,   0,  13,    37.601,    49.904,         1
Unannotated,  CCBS,   2,   0,  13,    37.601,    49.904,         1
Unannotated, PSIPP,   2,   0,  13,    37.601,    49.904,       474
  Annotated, PSIPP,   2,   0,  14,    44.691,    89.313,         1
Unannotated,  CCBS,   2,   0,  14,    44.691,    89.313,         2
Unannotated, PSIPP,   2,   0,  14,    44.691,    89.313,       442
  Annotated, PSIPP,   2,   0,  15,    46.652,    65.384,         1
Unannotated,  CCBS,   2,   0,  15,    46.652,    65.384,         4
Unannotated, PSIPP,   2,   0,  15,    46.652,    65.384,       573
  Annotated, PSIPP,   2,   0,  16,    59.239,    93.862,         1
Unannotated,  CCBS,   2,   0,  16,    59.239,    93.862,         1
Unannotated, PSIPP,   2,   0,  16,    59.239,    93.862,       413
  Annotated, PSIPP,   2,   0,  17,    45.006,    83.175,         1
Unannotated,  CCBS,   2,   0,  17,    45.006,    83.175,         1
Unannotated, PSIPP,   2,   0,  17,    45.006,    83.175,       537
  Annotated, PSIPP,   2,   0,  18,    43.157,    67.786,         1
Unannotated,  CCBS,   2,   0,  18,    43.157,    67.786,         1
Unannotated, PSIPP,   2,   0,  18,    43.157,    67.786,       508
  Annotated, PSIPP,   2,   0,  19,    39.025,    59.776,         1
Unannotated,  CCBS,   2,   0,  19,    39.025,    59.776,         1
Unannotated, PSIPP,   2,   0,  19,    39.025,    59.776,       442
  Annotated, PSIPP,   2,   0,  20,    56.567,    74.801,         1
Unannotated,  CCBS,   2,   0,  20,    56.567,    74.801,         1
Unannotated, PSIPP,   2,   0,  20,    56.567,    74.801,       636
  Annotated, PSIPP,   2,   0,  21,    54.565,    98.840,         1
Unannotated,  CCBS,   2,   0,  21,    54.565,    98.840,         1
Unannotated, PSIPP,   2,   0,  21,    54.565,    98.840,       733
  Annotated, PSIPP,   2,   0,  22,    57.895,   104.966,         1
Unannotated,  CCBS,   2,   0,  22,    57.895,   104.966,         1
Unannotated, PSIPP,   2,   0,  22,    57.895,   104.966,       604
  Annotated, PSIPP,   2,   0,  23,    48.711,    84.181,         1
Unannotated,  CCBS,   2,   0,  23,    48.711,    84.181,         1
Unannotated, PSIPP,   2,   0,  23,    48.711,    84.181,       474
  Annotated, PSIPP,   2,   0,  24,    51.340,    62.991,         1
Unannotated,  CCBS,   2,   0,  24,    51.340,    62.991,         1
Unannotated, PSIPP,   2,   0,  24,    51.340,    62.991,       571
  Annotated, PSIPP,   3,   0,   0,    38.779,    88.743,         1
Unannotated,  CCBS,   3,   0,   0,    38.779,    88.743,         2
Unannotated, PSIPP,   3,   0,   0,    38.779,    88.743,       852
  Annotated, PSIPP,   3,   0,   1,    55.414,   142.088,         1
Unannotated,  CCBS,   3,   0,   1,    55.414,   142.088,        10
Unannotated, PSIPP,   3,   0,   1,    55.414,   142.088,       986
  Annotated, PSIPP,   3,   0,   2,    49.529,   105.632,         1
Unannotated,  CCBS,   3,   0,   2,    49.529,   105.632,         2
Unannotated, PSIPP,   3,   0,   2,    49.529,   105.632,       825
  Annotated, PSIPP,   3,   0,   3,    51.637,   102.618,         1
Unannotated,  CCBS,   3,   0,   3,    51.637,   102.618,         2
Unannotated, PSIPP,   3,   0,   3,    51.637,   102.618,      1042
  Annotated, PSIPP,   3,   0,   4,    79.027,   158.802,         1
Unannotated,  CCBS,   3,   0,   4,    79.027,   158.802,         3
Unannotated, PSIPP,   3,   0,   4,    79.027,   158.802,      1274
  Annotated, PSIPP,   3,   0,   5,    41.873,    69.761,         1
Unannotated,  CCBS,   3,   0,   5,    42.669,    69.367,        22
Unannotated, PSIPP,   3,   0,   5,    41.873,    69.761,       602
  Annotated, PSIPP,   3,   0,   6,    65.417,   163.515,         1
Unannotated,  CCBS,   3,   0,   6,    65.417,   163.515,         2
Unannotated, PSIPP,   3,   0,   6,    65.417,   163.515,      1076
  Annotated, PSIPP,   3,   0,   7,    12.605,    30.111,         1
Unannotated,  CCBS,   3,   0,   7,    12.605,    30.111,         2
Unannotated, PSIPP,   3,   0,   7,    12.605,    30.111,       250
  Annotated, PSIPP,   3,   0,   8,    54.732,   127.325,         1
Unannotated,  CCBS,   3,   0,   8,    54.732,   127.325,         2
Unannotated, PSIPP,   3,   0,   8,    54.732,   127.325,       918
  Annotated, PSIPP,   3,   0,   9,    61.248,   127.776,         1
Unannotated,  CCBS,   3,   0,   9,    61.248,   127.776,         2
