0 annotation: 11
1 annotation: 12
2 annotation: 12
3 annotation: 12
4 annotation: 16
5 annotation: 14
6 annotation: 18
7 annotation: 12
8 annotation: 12
9 annotation: 16
10 annotation: 13
11 annotation: 12
12 annotation: 12
13 annotation: 12
14 annotation: 14
15 annotation: 12
16 annotation: 16
17 annotation: 12
18 annotation: 10
19 annotation: 12
20 annotation: 14
21 annotation: 14
22 annotation: 11
23 annotation: 11
24 annotation: 13
Unannotated, PSIPP,   2,   0,  15,   224.321,   267.930,        29
  Annotated, PSIPP,   2,   0,  17,    -1.000,    -1.000,         0
Unannotated,  CCBS,   2,   0,  17,    -1.000,    -1.000,         0
Unannotated, PSIPP,   2,   0,  17,    -1.000,    -1.000,        14
  Annotated, PSIPP,   2,   0,  22,    -1.000,    -1.000,         0
Unannotated,  CCBS,   2,   0,  22,    -1.000,    -1.000,         0
Unannotated, PSIPP,   2,   0,  22,    -1.000,    -1.000,        19
  Annotated, PSIPP,   3,   0,   8,    -1.000,    -1.000,         0
Unannotated,  CCBS,   3,   0,   8,    -1.000,    -1.000,         0
Unannotated, PSIPP,   3,   0,   8,    -1.000,    -1.000,        12
  Annotated, PSIPP,   3,   0,  15,   224.321,   338.824,         0
Unannotated,  CCBS,   3,   0,  15,   224.321,   338.824,         0
Unannotated, PSIPP,   3,   0,  15,   224.321,   338.824,        38
  Annotated, PSIPP,   4,   0,  15,    -1.000,    -1.000,         0
Unannotated,  CCBS,   4,   0,  15,    -1.000,    -1.000,         0
Unannotated, PSIPP,   4,   0,  15,    -1.000,    -1.000,        51
