0 annotation: 109
1 annotation: 103
2 annotation: 104
3 annotation: 105
4 annotation: 105
5 annotation: 111
6 annotation: 105
7 annotation: 109
8 annotation: 102
9 annotation: 107
10 annotation: 102
11 annotation: 111
12 annotation: 109
13 annotation: 106
14 annotation: 107
15 annotation: 110
16 annotation: 103
17 annotation: 108
18 annotation: 109
19 annotation: 107
20 annotation: 113
21 annotation: 103
22 annotation: 115
23 annotation: 103
24 annotation: 102
  Annotated, PSIPP,   1,   0,   0,   234.610,   234.610,         0
Unannotated,  CCBS,   1,   0,   0,   234.610,   234.610,         0
Unannotated, PSIPP,   1,   0,   0,   234.610,   234.610,         0
  Annotated, PSIPP,   1,   0,   1,   190.767,   190.767,         0
Unannotated,  CCBS,   1,   0,   1,   190.767,   190.767,         0
Unannotated, PSIPP,   1,   0,   1,   190.767,   190.767,         0
  Annotated, PSIPP,   1,   0,   2,   121.114,   121.114,         0
Unannotated,  CCBS,   1,   0,   2,   121.114,   121.114,         0
Unannotated, PSIPP,   1,   0,   2,   121.114,   121.114,         0
  Annotated, PSIPP,   1,   0,   3,   266.112,   266.112,         0
Unannotated,  CCBS,   1,   0,   3,   266.112,   266.112,         0
Unannotated, PSIPP,   1,   0,   3,   266.112,   266.112,         0
  Annotated, PSIPP,   1,   0,   4,   170.737,   170.737,         0
Unannotated,  CCBS,   1,   0,   4,   170.737,   170.737,         0
Unannotated, PSIPP,   1,   0,   4,   170.737,   170.737,         0
  Annotated, PSIPP,   1,   0,   5,   148.595,   148.595,         0
Unannotated,  CCBS,   1,   0,   5,   148.595,   148.595,         0
Unannotated, PSIPP,   1,   0,   5,   148.595,   148.595,         0
  Annotated, PSIPP,   1,   0,   6,   134.364,   134.364,         0
Unannotated,  CCBS,   1,   0,   6,   134.364,   134.364,         0
Unannotated, PSIPP,   1,   0,   6,   134.364,   134.364,         0
  Annotated, PSIPP,   1,   0,   7,   184.839,   184.839,         0
Unannotated,  CCBS,   1,   0,   7,   184.839,   184.839,         0
Unannotated, PSIPP,   1,   0,   7,   184.839,   184.839,         0
  Annotated, PSIPP,   1,   0,   8,   166.017,   166.017,         0
Unannotated,  CCBS,   1,   0,   8,   166.017,   166.017,         0
