0 annotation: 97
1 annotation: 99
2 annotation: 97
3 annotation: 96
4 annotation: 97
5 annotation: 95
6 annotation: 94
7 annotation: 95
8 annotation: 95
9 annotation: 97
10 annotation: 96
11 annotation: 95
12 annotation: 96
13 annotation: 96
14 annotation: 94
15 annotation: 96
16 annotation: 99
17 annotation: 98
18 annotation: 98
19 annotation: 98
20 annotation: 95
21 annotation: 95
22 annotation: 96
23 annotation: 94
24 annotation: 95
Unannotated, PSIPP,   2,   0,   4,   133.716,   182.088,       359
  Annotated, PSIPP,   2,   0,   5,    45.757,    66.100,         0
Unannotated,  CCBS,   2,   0,   5,    45.757,    66.100,         0
Unannotated, PSIPP,   2,   0,   5,    45.757,    66.100,       412
  Annotated, PSIPP,   2,   0,   6,   114.475,   190.679,         1
Unannotated,  CCBS,   2,   0,   6,   114.475,   190.679,        44
Unannotated, PSIPP,   2,   0,   6,   114.475,   190.679,       356
  Annotated, PSIPP,   2,   0,   8,   139.053,   159.573,         1
Unannotated,  CCBS,   2,   0,   8,   139.053,   159.573,         1
Unannotated, PSIPP,   2,   0,   8,   139.053,   159.573,       839
  Annotated, PSIPP,   2,   0,   9,    71.516,   125.979,         0
Unannotated,  CCBS,   2,   0,   9,    71.516,   125.979,         0
Unannotated, PSIPP,   2,   0,   9,    71.516,   125.979,       494
  Annotated, PSIPP,   2,   0,  10,    68.773,   110.840,         0
Unannotated,  CCBS,   2,   0,  10,    68.773,   110.840,         0
Unannotated, PSIPP,   2,   0,  10,    68.773,   110.840,       342
  Annotated, PSIPP,   2,   0,  14,    64.460,   118.392,         0
Unannotated,  CCBS,   2,   0,  14,    64.460,   118.392,         0
Unannotated, PSIPP,   2,   0,  14,    64.460,   118.392,       507
  Annotated, PSIPP,   2,   0,  15,    70.804,   108.082,         0
Unannotated,  CCBS,   2,   0,  15,    70.804,   108.082,         0
Unannotated, PSIPP,   2,   0,  15,    70.804,   108.082,       287
  Annotated, PSIPP,   2,   0,  16,   158.170,   240.992,         1
Unannotated,  CCBS,   2,   0,  16,   158.926,   219.023,         7
Unannotated, PSIPP,   2,   0,  16,   158.170,   240.992,      1084
  Annotated, PSIPP,   2,   0,  17,    -1.000,    -1.000,         1
Unannotated,  CCBS,   2,   0,  17,    -1.000,    -1.000,         1
Unannotated, PSIPP,   2,   0,  17,    -1.000,    -1.000,       522
  Annotated, PSIPP,   2,   0,  18,   134.541,   170.010,         0
Unannotated,  CCBS,   2,   0,  18,   134.541,   170.010,         1
Unannotated, PSIPP,   2,   0,  18,   134.541,   170.010,       899
  Annotated, PSIPP,   2,   0,  19,    48.801,    84.036,         0
Unannotated,  CCBS,   2,   0,  19,    48.801,    84.036,         0
Unannotated, PSIPP,   2,   0,  19,    48.801,    84.036,       442
  Annotated, PSIPP,   2,   0,  20,   132.786,   171.034,         1
Unannotated,  CCBS,   2,   0,  20,   132.786,   171.034,         0
Unannotated, PSIPP,   2,   0,  20,   132.786,   171.034,       832
  Annotated, PSIPP,   2,   0,  21,    34.425,    68.297,         0
Unannotated,  CCBS,   2,   0,  21,    34.425,    68.297,         1
Unannotated, PSIPP,   2,   0,  21,    34.425,    68.297,       322
  Annotated, PSIPP,   2,   0,  22,   122.191,   177.951,         1
Unannotated,  CCBS,   2,   0,  22,   122.191,   177.951,         1
Unannotated, PSIPP,   2,   0,  22,   122.191,   177.951,       760
  Annotated, PSIPP,   2,   0,  23,   137.710,   199.085,         0
Unannotated,  CCBS,   2,   0,  23,   137.710,   199.085,         1
Unannotated, PSIPP,   2,   0,  23,   137.710,   199.085,       523
  Annotated, PSIPP,   2,   0,  24,    57.168,    94.696,         0
Unannotated,  CCBS,   2,   0,  24,    57.168,    94.696,         1
Unannotated, PSIPP,   2,   0,  24,    57.168,    94.696,       237
  Annotated, PSIPP,   3,   0,   1,    48.119,    99.083,         0
Unannotated,  CCBS,   3,   0,   1,    48.119,    99.083,         2
Unannotated, PSIPP,   3,   0,   1,    48.119,    99.083,       451
  Annotated, PSIPP,   3,   0,   2,   110.664,   165.828,         0
Unannotated,  CCBS,   3,   0,   2,   110.664,   165.828,         1
Unannotated, PSIPP,   3,   0,   2,   110.664,   165.828,       535
  Annotated, PSIPP,   3,   0,   3,    52.154,   100.061,         0
Unannotated,  CCBS,   3,   0,   3,    52.154,   100.061,         0
Unannotated, PSIPP,   3,   0,   3,    52.154,   100.061,       659
  Annotated, PSIPP,   3,   0,   4,   133.716,   243.767,         1
Unannotated,  CCBS,   3,   0,   4,   133.716,   243.767,         1
Unannotated, PSIPP,   3,   0,   4,   133.716,   243.767,      1148
  Annotated, PSIPP,   3,   0,   5,    50.044,   116.144,         0
Unannotated,  CCBS,   3,   0,   5,    50.044,   116.144,         1
