0 annotation: 67
1 annotation: 66
2 annotation: 64
3 annotation: 62
4 annotation: 62
5 annotation: 64
6 annotation: 64
7 annotation: 63
8 annotation: 62
9 annotation: 62
10 annotation: 61
11 annotation: 61
12 annotation: 62
13 annotation: 62
14 annotation: 63
15 annotation: 62
16 annotation: 63
17 annotation: 62
18 annotation: 62
19 annotation: 62
20 annotation: 63
21 annotation: 62
22 annotation: 61
23 annotation: 62
24 annotation: 62
  Annotated, PSIPP,   1,   0,   0,   133.717,   133.717,         0
Unannotated,  CCBS,   1,   0,   0,   133.717,   133.717,         0
Unannotated, PSIPP,   1,   0,   0,   133.717,   133.717,         0
  Annotated, PSIPP,   1,   0,   1,   211.476,   211.476,         0
Unannotated,  CCBS,   1,   0,   1,   211.476,   211.476,         0
Unannotated, PSIPP,   1,   0,   1,   211.476,   211.476,         0
  Annotated, PSIPP,   1,   0,   2,    74.059,    74.059,         0
Unannotated,  CCBS,   1,   0,   2,    74.059,    74.059,         0
Unannotated, PSIPP,   1,   0,   2,    74.059,    74.059,         0
  Annotated, PSIPP,   1,   0,   3,   297.026,   297.026,         0
Unannotated,  CCBS,   1,   0,   3,   297.026,   297.026,         0
Unannotated, PSIPP,   1,   0,   3,   297.026,   297.026,         0
  Annotated, PSIPP,   1,   0,   4,    79.439,    79.439,         0
Unannotated,  CCBS,   1,   0,   4,    79.439,    79.439,         0
Unannotated, PSIPP,   1,   0,   4,    79.439,    79.439,         0
  Annotated, PSIPP,   1,   0,   5,   269.953,   269.953,         0
Unannotated,  CCBS,   1,   0,   5,   269.953,   269.953,         0
Unannotated, PSIPP,   1,   0,   5,   269.953,   269.953,         0
  Annotated, PSIPP,   1,   0,   6,   250.609,   250.609,         0
Unannotated,  CCBS,   1,   0,   6,   250.609,   250.609,         0
Unannotated, PSIPP,   1,   0,   6,   250.609,   250.609,         0
  Annotated, PSIPP,   1,   0,   7,   259.996,   259.996,         0
Unannotated,  CCBS,   1,   0,   7,   259.996,   259.996,         0
Unannotated, PSIPP,   1,   0,   7,   259.996,   259.996,         0
  Annotated, PSIPP,   1,   0,   8,   229.422,   229.422,         0
Unannotated,  CCBS,   1,   0,   8,   229.422,   229.422,         0
Unannotated, PSIPP,   1,   0,   8,   229.422,   229.422,         0
  Annotated, PSIPP,   1,   0,   9,   116.364,   116.364,         0
Unannotated,  CCBS,   1,   0,   9,   116.364,   116.364,         0
Unannotated, PSIPP,   1,   0,   9,   116.364,   116.364,         0
  Annotated, PSIPP,   1,   0,  10,   190.781,   190.781,         0
Unannotated,  CCBS,   1,   0,  10,   190.781,   190.781,         0
Unannotated, PSIPP,   1,   0,  10,   190.781,   190.781,         0
  Annotated, PSIPP,   1,   0,  11,   185.701,   185.701,         0
Unannotated,  CCBS,   1,   0,  11,   185.701,   185.701,         0
Unannotated, PSIPP,   1,   0,  11,   185.701,   185.701,         0
  Annotated, PSIPP,   1,   0,  12,   105.466,   105.466,         0
Unannotated,  CCBS,   1,   0,  12,   105.466,   105.466,         0
Unannotated, PSIPP,   1,   0,  12,   105.466,   105.466,         0
  Annotated, PSIPP,   1,   0,  13,   233.470,   233.470,         0
Unannotated,  CCBS,   1,   0,  13,   233.470,   233.470,         0
Unannotated, PSIPP,   1,   0,  13,   233.470,   233.470,         0
  Annotated, PSIPP,   1,   0,  14,    75.986,    75.986,         0
Unannotated,  CCBS,   1,   0,  14,    75.986,    75.986,         0
Unannotated, PSIPP,   1,   0,  14,    75.986,    75.986,         0
